year,suicides
1985,4.36
1986,4.37
1987,4.31
1988,4.25
1989,4.23
1990,3.92
1991,3.81
1992,3.67
1993,4.14
1994,3.72
1995,3.71
1996,3.6
1997,3.53
1998,3.32
1999,3.12
2000,2.98
2001,2.89
2002,2.92
2003,3.03
2004,3.55
2005,3.49
2006,3.21
2007,3.17
2008,3.49
2009,3.64
2010,3.88
2011,4
2012,4.41
2013,4.49
2014,4.56
2015,5.23
