year,suicides
1985,36.84
1986,38.29
1987,37.56
1988,35.51
1989,35.01
1990,35.66
1991,34.04
1992,32.92
1993,32.5
1994,30.11
1995,30.44
1996,30.14
1997,29.25
1998,28.41
1999,27.02
2000,25.59
2001,27.46
2002,28.2
2003,27.75
2004,27.43
2005,27.69
2006,28.5
2007,29.79
2008,31.54
2009,32.09
2010,33.17
2011,33.33
2012,34.27
2013,35.25
2014,36.42
2015,36.29
