year,suicides
1985,31.86
1986,33.36
1987,32.11
1988,31.07
1989,29.68
1990,29.89
1991,28.63
1992,28.42
1993,28.33
1994,27.17
1995,26.73
1996,25.79
1997,26.06
1998,25.73
1999,24.05
2000,22.96
2001,23.26
2002,24.07
2003,23.88
2004,25.62
2005,25.17
2006,25.43
2007,26.3
2008,27.35
2009,27.68
2010,28.6
2011,29.93
2012,30.7
2013,31.54
2014,33.21
2015,35.23
