year,suicides
1985,7.34
1986,7.9
1987,7.42
1988,7
1989,6.67
1990,7.06
1991,6.29
1992,6.21
1993,6.09
1994,5.49
1995,5.38
1996,5.19
1997,5.06
1998,4.97
1999,4.77
2000,4.77
2001,4.95
2002,5.01
2003,5.06
2004,5.18
2005,5.28
2006,5.77
2007,6.15
2008,6.02
2009,6.4
2010,6.83
2011,6.81
2012,7.02
2013,7.48
2014,7.83
2015,8.18
