year,suicides
1985,166.46
1986,190.11
1987,179.33
1988,175.38
1989,170.98
1990,165.02
1991,167.78
1992,163.6
1993,164.02
1994,161.91
1995,163.52
1996,162.89
1997,151.43
1998,150.12
1999,158.44
2000,139
2001,137.43
2002,137.73
2003,137.27
2004,131.66
2005,133.84
2006,126.43
2007,127.45
2008,127.59
2009,130.67
2010,132.67
2011,125.02
2012,127.88
2013,133.09
