year,suicides
1985,7.58
1986,8.06
1987,7.73
1988,7.3
1989,6.91
1990,6.85
1991,6.95
1992,6.87
1993,6.7
1994,6.81
1995,6.58
1996,6.76
1997,7.02
1998,6.92
1999,6.54
2000,6.53
2001,6.8
2002,7.12
2003,7.11
2004,7.86
2005,7.38
2006,7.71
2007,8.08
2008,8.44
2009,8.55
2010,8.44
2011,8.89
2012,9.13
2013,8.99
2014,9.63
2015,9.76
