year,suicides
1985,152.86
1986,158.29
1987,159.55
1988,156.64
1989,152.76
1990,157.91
1991,155.14
1992,149.35
1993,150.79
1994,148.86
1995,146.36
1996,140.66
1997,135.9
1998,134.78
1999,126.72
2000,123.62
2001,124.96
2002,125.95
2003,121.76
2004,121.28
2005,121.51
2006,119.7
2007,122.82
2008,125.89
2009,126.51
2010,130.29
2011,132.43
2012,134.44
2013,135.13
2014,138.12
2015,140.18
