year,suicides
1985,59.81
1986,62.8
1987,65.35
1988,64.23
1989,60.16
1990,63.9
1991,61.92
1992,58.5
1993,58.23
1994,56.25
1995,53.72
1996,51.35
1997,49.77
1998,50.32
1999,46.3
2000,46.45
2001,44.4
2002,44.91
2003,41.64
2004,40.92
2005,41.91
2006,39.41
2007,39.96
2008,39.67
2009,39.1
2010,39.64
2011,40.27
2012,41.13
2013,42
2014,42.96
2015,43.39
